SW1;SW2;Info/Warning/Error/Security;Description
62;0;W;No information given (NV-Ram not changed)
63;0;W;No information given (NV-Ram changed)
64;0;E;No information given (NV-Ram not changed)
65;0;E;No information given
66;0;S;Error while receiving (timeout)
67;0;E;Wrong length
68;0;E;No information given (The request function is not supported by the card)
69;0;E;No information given (Command not allowed)
6A;0;E;No information given (Bytes P1 and/or P2 are incorrect)
6B;0;E;Wrong parameter(s) P1-P2
6C;0;E;Incorrect P3 length.
6D;0;E;Instruction code not supported or invalid
6E;0;E;Class not supported
6F;0;E;Command aborted - more exact diagnosis not possible (e.g., operating system error).
90;0;I;Command successfully executed (OK).
91;0;;OK
94;0;E;No EF selected.
97;0;;PIN blocked and Unblock Try Counter is 1 or 2
99;0;W;1 PIN try left
9A;0;E;2 PIN try left
9E;0;E;PIN not installed
9F;0;E;PIN blocked and Unblock Try Counter is 3
62;1;W;NV-Ram not changed 1.
64;1;E;Command timeout. Immediate response required by the card.
65;1;E;Write error. Memory failure. There have been problems in writing or reading the EEPROM. Other hardware problems may also bring this error.
66;1;S;Error while receiving (character parity error)
69;1;E;Command not accepted (inactive state)
91;1;;States.activity, States.lock Status or States.lockable has wrong value
93;1;;Integrity error
94;1;;Candidate currency code does not match purse currency
66;2;S;Wrong checksum
91;2;;Transaction number reached its limit
93;2;;Candidate S2 invalid
94;2;;Candidate amount too high
94;2;E;Address range exceeded.
97;2;;Main keys are blocked
98;2;E;No PIN defined.
66;3;S;The current DF file without FCI
93;3;E;Application is permanently locked
94;3;;Candidate amount too low
66;4;S;No SF or KF under the current DF
90;4;W;PIN not succesfully verified, 3 or more PIN tries left
94;4;E;FID not found, record not found or comparison pattern not found.
97;4;;PIN not succesfully verified, 3 or more PIN tries left
98;4;E;Access conditions not satisfied, authentication failed.
99;4;E;PIN not succesfully verified, 1 PIN try left
9A;4;E;PIN not succesfully verified, 2 PIN try left
9E;4;E;PIN not succesfully verified, PIN not installed
9F;4;E;PIN not succesfully verified, PIN blocked and Unblock Try Counter is 3
94;5;;Problems in the data field
9D;5;E;Incorrect certificate type
94;6;E;Required MAC unavailable
94;7;;Bad currency : purse engine has no slot with R3bc currency
9D;7;E;Incorrect session data size
90;8;;Key/file not found
94;8;;R3bc currency not supported in purse engine
94;8;E;Selected file type does not match command.
9D;8;E;Incorrect DIR file record size
9D;9;E;Incorrect FCI record size
92;10;E;Insufficient memory. No more storage available.
9D;10;E;Insufficient memory to load application
9D;11;E;Invalid AID
9D;12;E;Duplicate AID
9D;13;E;Application previously loaded
9D;14;E;Application history list full
9D;15;E;Application not open
9D;17;E;Invalid offset
9D;18;E;Application already loaded
9D;19;E;Invalid certificate
9D;20;E;Application not loaded
9D;21;E;Invalid Open command data length
9D;30;E;Check data parameter is incorrect (invalid start address)
9D;31;E;Check data parameter is incorrect (invalid length)
9D;32;E;Check data parameter is incorrect (illegal memory check area)
98;35;E;ASK RANDOM or GIVE RANDOM not executed.
91;40;;Invalid key number specified
92;40;E;Writing to EEPROM not successful.
98;40;E;PIN verification not successful.
9D;40;E;Invalid MSM Controls ciphertext
9D;41;E;MSM controls already set
9D;42;E;Set MSM Controls data length less than 2 bytes
9D;43;E;Invalid MSM Controls data length
9D;44;E;Excess MSM Controls ciphertext
9D;45;E;Verification of MSM Controls data failed
98;50;E;INCREASE or DECREASE could not be executed because a limit has been reached.
9D;50;E;Invalid MCD Issuer production ID
