Template;Tag;AAA;;Tag;Mandatory;Origin;;;Type;Description
;5F57;Account Type;n2;5F57;;Terminal;1;1;;Indicates the type of account selected on the terminal, coded as specified in Annex G
;9F01;Acquirer Identifier;n6...11;9F01;;Terminal;6;11;primitive;Uniquely identifies the acquirer within each payment system
;9F40;Additional Terminal Capabilities (ATC);b;9F40;;Terminal;5;5;primitive;Indicates the data input and output capabilities of the Terminal and Reader. The Additional Terminal Capabilities is coded according to Annex A.3 of [EMV Book 4].
;81;Amount  Authorised (Binary);b;81;;Terminal;4;4;primitive;Authorised amount of the transaction (excluding adjustments)
;9F02;Amount  Authorised (Numeric);n12;9F02;;Terminal;6;6;primitive;Authorised amount of the transaction (excluding adjustments). This amount is expressed with implicit decimal point corresponding to the minor unit of currency as defined by [ISO 4217] (for example the six bytes '00 00 00 00 01 23' represent USD 1.23 when the currency code is '840'). If the initial transaction amount needs to be replaced with a revised transaction amount, the Terminal must provide it before the chokepoint.
;9F04;Amount  Other (Binary);b;9F04;;Terminal;4;4;primitive;Secondary amount associated with the transaction representing a cashback amount
;9F03;Amount  Other (Numeric);n12;9F03;;Terminal;6;6;primitive;Secondary amount associated with the transaction representing a cash back amount. This amount is expressed with implicit decimal point corresponding to the minor unit of currency as defined by [ISO 4217] (for example the 6 bytes '00 00 00 00 01 23' represent GBP 1.23 when the currency code is '826').
;9F3A;Amount  Reference Currency (Binary);b;9F3A;;Terminal;4;4;constructed;Authorised amount expressed in the reference currency
;9F5D;Application Capabilities Information (ACI);b;9F5D;;Card;3;3;;Lists a number of card features beyond regular payment.
77 or 80;9F26;Application Cryptogram (AC);b64;9F26;;Card;8;8;constructed;Cryptogram returned by the ICC in response of the GENERATE AC or RECOVER AC command
;9F51;Application Currency Code DRDOL;b;9F51;;Card;var.;var.;;A data object in the Card that provides the Kernel with a list of data objects that must be passed to the Card in the data field of the RECOVER AC command.
70 or 77;9F05;Application Discretionary Data;b;9F05;;Card;1;32;primitive;Issuer or payment system specified data relating to the application
70 or 77;5F25;Application Effective Date;AAMMJJ n6;5F25;;Card;3;3;primitive;Date from which the application may be used. The date is expressed in the YYMMDD format. For MasterCard branded applications if the value of YY ranges from '00' to '49' the date reads 20YYMMDD. If the value of YY ranges from '50' to '99', the date reads 19YYMMDD.
70 or 77;5F24;Application Expiration Date;AAMMJJ n6;5F24;;Card;3;3;primitive;Date after which application expires. The date is expressed in the YYMMDD format. For MasterCard applications, if the value of YY ranges from '00' to '49' the date reads 20YYMMDD. If the value of YY ranges from '50' to '99' the date reads 19YYMMDD.Date after which the card application expires. For transactions where Offline Data Authentication is performed, the Application Expiration Date is returned. For transactions where Offline Data Authentication is not performed, the Application Expiration Date does not need to be returned.
77 or 80;94;Application File Locator (AFL);b4...252;94;;Card;4;252;primitive;Indicates the location (SFI range of records) of the Application Elementary Files associated with a particular AID, and read by the Kernel during a transaction.
61;4F;Application Identifier (ADF Name);b40...128;4F;;Card;5;16;primitive;The ADF Name identifies the application as described in [ISO 7816-5]. The AID is made up of the Registered Application Provider Identifier (RID) and the Proprietary Identifier Extension (PIX).
;9F06;Application Identifier (AID)  Terminal;b;9F06;;Terminal;5;16;primitive;Identifies the application as described in ISO/IEC 7816-5
77 or 80;82;Application Interchange Profile (AIP);b;82;;Card;2;2;primitive;Indicates the capabilities of the card to support specific functions in the application
61 or A5;50;Application Label;ans1...16;50;;Card;1;16;primitive;Mnemonic associated with AID according to [ISO 7816-5]. Used in application selection. Application Label is optional in the File Control Information (FCI) of an Application Definition File (ADF) and optional in an ADF directory entry.
;9F7E;Application life cycle data (8 first bytes);H;9F7E;;Card;;;;
61 or A5;9F12;Application Preferred Name;ans1...16;9F12;;Card;1;16;primitive;Preferred mnemonic associated with the AID
70 or 77;5A;Application Primary Account Number (PAN);n...19;5A;X;Card;0;10;primitive;Cardholder account number. READ RECORD For transactions where Offline Data Authentication is performed, the Application PAN is returned. For transactions where Offline Data Authentication is not performed, the Application PAN does not need to be returned.
70 or 77;5F34;Application Primary Account Number Sequence Number (PSN);n2;5F34;;Card;1;1;primitive;Identifies and differentiates cards with the same Application PAN
61 or A5;87;Application Priority Indicator;b;87;;Card;1;1;primitive;Indicates the priority of a given application or group of applications in a directory
;9F5A;Application Program Identifier (Program ID);b;9F5A;;Card;1;16;;Payment system proprietary data element identifying the Application Program ID of the card application. When personalised, the Application Program ID is returned in the FCI Issuer Discretionary Data of the SELECT response (Tag �BF0C'). EMV mode readers that support Dynamic Reader Limits (DRL) functionality examine the Application Program ID to determine the Reader Limit Set to apply.
;9F5A;Application Program Identifier (Program ID);b;9F5A;;Terminal;1;16;;Proprietary data element used by the device during Dynamic Reader Limit processing to determine the Reader Limit Set to apply for the transaction. EMV mode readers that support Dynamic Reader Limits (DRL) functionality support four or more Application Program Identifiers, each corresponding to a Reader Limit Set.
70;61;Application Template;b...252;61;;Card;var. up to 252;var. up to 252;constructed;Template containing one or more data objects relevant to an application directory entry according to [ISO 7816-5].
77 or 80;9F36;Application Transaction Counter (ATC);b;9F36;;Card;2;2;constructed;Counter maintained by the application in the ICC (incrementing the ATC is managed by the ICC)
70 or 77;9F07;Application Usage Control (AUC);b16;9F07;;Card;2;2;primitive;Indicates issuer's specified restrictions on the geographic usage and services allowed for the application
70 or 77;9F08;Application Version Number - Card;b;9F08;;Card;2;2;primitive;Version number assigned by the payment system for the application in the Card
;9F09;Application Version Number - Terminal;b;9F09;;Terminal;2;2;primitive;Version number assigned by the payment system for the Kernel application
;89;Authorisation Code;ans6;89;;Issuer;6;6;primitive;Nonzero value generated by the issuer for an approved transaction.
;8A;Authorisation Response Code (ARC);an2;8A;;Issuer/Terminal;2;2;primitive;Indicates the transaction disposition of the transaction received from the issuer for online authorisations.
;9F5D;Available Offline Spending Amount (AOSA);n12;9F5D;;Card;6;6;;Kernel 3 proprietary data element indicating the remaining amount available to be spent offline. The AOSA is a calculated field used to allow the reader to print or display the amount of offline spend that is available on the card.
BF0C or 73;5F54;Bank Identifier Code (BIC);VAR;5F54;;Card;8 or 11;8 or 11;primitive;Uniquely identifies a bank as defined in ISO 9362.
;9F68;Card Additional Processes;b;9F68;;Card;var.;var.;;
;9F69;Card Authentication Related Data;b;9F69;;Card;5;16;;Contains the fDDA Version Number, Card Unpredictable Number, and Card Transaction Qualifiers. For transactions where fDDA is performed, the Card Authentication Related Data is returned in the last record specified by the Application File Locator for that transaction.
;9F6B;Card CVM Limit;b;9F6B;;Card;var.;var.;;
;59;Card expiration date;;59;;Card;;;;
;9F70;Card Interface Capabilities;b16;9F70;;Card;2;2;;Data element indicating other interfaces supported by the device.
;9F7F;Card Production Life Cycle (CPLC) Data;H;9F7F;;Card;;;;
70 or 77;8C;Card Risk Management Data Object List 1 (CDOL1);b...252;8C;X;Card;0;252;primitive;List of data objects (tag and length) to be passed to the ICC in the first GENERATE AC command
70 or 77;8D;Card Risk Management Data Object List 2 (CDOL2);b...252;8D;X;Card;var. up to 252;var. up to 252;primitive;List of data objects (tag and length) to be passed to the ICC in the second GENERATE AC command
;9F6C;Card Transaction Qualifiers (CTQ);b16;9F6C;;Card;2;2;;In this version of the specification, used to indicate to the device the card CVM requirements, issuer preferences, and card capabilities.
;9F52;Card Verification Results (CVR);b;9F52;;Card;var.;var.;;
70 or 77;5F20;Cardholder Name;ans2...26;5F20;X;Card;2;26;primitive;Indicates cardholder name according to ISO 7813
70 or 77;9F0B;Cardholder Name - Extended;ans27...45;9F0B;;Card;27;45;primitive;Indicates the whole cardholder name when greater than 26 characters using the same coding convention as in ISO 7813
70 or 77;8E;Cardholder Verification Method (CVM) List;k;8E;;Card;10;252;primitive;Identifies a method of verification of the cardholder supported by the application
;9F34;Cardholder Verification Method (CVM) Results;b3 ;9F34;;Terminal;3;3;constructed;Indicates the results of the last CVM performed
70 or 77;8F;Certification Authority Public Key Index (PKI);b8;8F;;Card;1;1;primitive;Identifies the certification authority's public key in conjunction with the RID
;9F22;Certification Authority Public Key Index (PKI);b8;9F22;;Terminal;1;1;constructed;Identifies the Certificate Authority's public key in conjunction with the RID for use in offline static and dynamic data authentication.
;83;Command Template;b;83;;Terminal;var.;var.;primitive;Identifies the data field of a command message
;52;Command to perform;H;52;;Card;;;;
;9F58;Consecutive Transaction Counter Limit (CTCL);b;9F58;;Card;var.;var.;;
;9F59;Consecutive Transaction Counter Upper Limit (CTCUL);b;9F59;;Card;var.;var.;;
;9F5E;Consecutive Transaction International Upper Limit (CTIUL);b;9F5E;;Card;var.;var.;;
;9F72;Consecutive Transaction Limit (International�Country);b;9F72;;Card;1;1;;Visa proprietary data element specifying the maximum number of the consecutive offline international (those not in the country of issue) transactions allowed for that card application before a transaction goes online.
77 or 80;9F27;Cryptogram Information Data (CID);b8;9F27;;Card;1;1;constructed;Indicates the type of cryptogram and the actions to be performed by the terminal
;9F54;Cumulative Total Transaction Amount Limit (CTTAL);b;9F54;;Card;var.;var.;;
;9F75;Cumulative Total Transaction Amount Limit-Dual Currency;n12;9F75;;Card;6;6;;Visa proprietary data element specifying the upper limit of the total amount of offline domestic transactions in the designated currency (Application Currency Code) and a secondary currency (Secondary Application Currency Code) allowed for that card application before a transaction is forced to go online. This limit is in the designated currency.
;9F5C;Cumulative Total Transaction Amount Upper Limit (CTTAUL);n12;9F5C;;Card;6;6;;Visa proprietary data element specifying the maximum total amount of offline transactions in the designated currency or designated and secondary currency allowed for the card application before a transaction is declined after an online transaction is unable to be performed.
70 or 77;9F42;Currency Code  Application;n3;9F42;;Card;2;2;primitive;Indicates the currency in which the account is managed according to ISO 4217
70 or 77;9F3B;Currency Code  Application Reference;n3;9F3B;;Card;2;8;constructed;1-4 currency codes used between the terminal and the ICC when the Transaction Currency Code is different from the Application Currency Code -  each code is 3 digits according to ISO 4217
;9F3C;Currency Code  Transaction Reference;n3;9F3C;;Terminal;2;2;constructed;Code defining the common currency used by the terminal in case the Transaction Currency Code is different from the Application Currency Code
;9F73;Currency Conversion Parameters;n8;9F73;;Card;4;4;;A decimal value used in a conversion algorithm to convert the Secondary Application Currency Code to the card's domestic (Application Currency Code). Issuer Script may be used to modify this data element.
70 or 77;9F44;Currency Exponent  Application;n1;9F44;;Card;1;1;primitive;Indicates the implied position of the decimal point from the right of the amount represented according to ISO 4217
70 or 77;9F43;Currency Exponent  Application Reference;n1;9F43;;Card;1;4;primitive;Indicates the implied position of the decimal point from the right of the amount, for each of the 1-4 reference currencies represented according to ISO 4217
;9F3D;Currency Exponent  Transaction Reference;n1;9F3D;;Terminal;1;1;constructed;Indicates the implied position of the decimal point from the right of the transaction amount, with the Transaction Reference Currency Code represented according to ISO 4217
;9F7C;Customer Exclusive Data (CED);b;9F7C;;Card;var. up to 32;var. up to 32;;Contains data for transmission to the issuer.
;9F60;CVC3 (Track1);b;9F60;;Card;2;2;;The CVC3 (Track1) is a 2-byte cryptogram returned by the Card in the response to the COMPUTE CRYPTOGRAPHIC CHECKSUM command.
;9F61;CVC3 (Track2);b;9F61;;Card;2;2;;The CVC3 (Track2) is a 2-byte cryptogram returned by the Card in the response to the COMPUTE CRYPTOGRAPHIC CHECKSUM command.
;9F45;Data Authentication Code;b;9F45;;Terminal;2;2;primitive;An issuer assigned value that is retained by the terminal during the verification process of the Signed Static Application Data
6F;84;Dedicated File (DF) Name;b40...128;84;;Card;5;16;primitive;Identifies the name of the DF as described in ISO/IEC 7816-4
61;9D;Directory Definition File (DDF) Name;b;9D;;Card;5;16;primitive;Identifies the name of a DF associated with a directory
61;73;Directory Discretionary Template;b...252;73;;Card;0;252;constructed;Issuer discretionary part of the directory according to ISO/IEC 7816-5
;9F5E;DS ID;n16...22;9F5E;;Card;8;11;;Data Storage Identifier constructed as follows: Application PAN (without any 'F' padding) Application PAN Sequence Number If necessary, it is padded to the left with one hexadecimal zero to ensure whole bytes. If necessary, it is padded to the left with hexadecimal zeroes to ensure a minimum length of 8 bytes.
;9F54;DS ODS Card;b;9F54;;Card;0;160;;Contains the Card stored operator proprietary data obtained in the response to the GET PROCESSING OPTIONS command.
;9F5C;DS Requested Operator ID;b;9F5C;;Card;8;8;;Contains the Terminal determined operator identifier for data storage. It is sent to the Card in the GET PROCESSING OPTIONS command.
;9F5F;DS Slot Availability;b;9F5F;;Card;1;1;;Contains the Card indication, obtained in the response to the GET PROCESSING OPTIONS command, about the slot type(s) available for data storage.
;9F6F;DS Slot Management Control;b;9F6F;;Card;1;1;;Contains the Card indication, obtained in the response to the GET PROCESSING OPTIONS command, about the status of the slot containing data associated to the DS Requested Operator ID.
;9F7D;DS Summary 1;b;9F7D;;Card;8;16;;Contains the Card indication, obtained in the response to the GET PROCESSING OPTIONS command, about either the stored summary associated with DS ODS Card if present, or about a default zero-filled summary if DS ODS Card is not present and DS Unpredictable Number is present.
;9F7F;DS Unpredictable Number;b;9F7F;;Card;4;4;;Contains the Card challenge (random), obtained in the response to the GET PROCESSING OPTIONS command, to be used by the Terminal in the summary calculation when providing DS ODS Term.
70 or 77;9F49;Dynamic Data Authentication Data Object List (DDOL);b...252;9F49;;Card;0;252;primitive;List of data objects (tag and length) to be passed to the ICC in the INTERNAL AUTHENTICATE command
;9F62;Encrypted PIN - ISO 95641 Format 0 (Thales P3 Format 01);H;9F62;;Card;;;;
61;9F29;Extended Selection;b;9F29;;Card;var.;var.;;The value to be appended to the ADF Name in the data field of the SELECT command, if the Extended Selection Support flag is present and set to 1. Content is payment system proprietary.
A5;BF0C;File Control Information (FCI) Issuer Discretionary Data;VAR;BF0C;;Card;0;222;primitive;Issuer discretionary part of the File Control Information Proprietary Template.
6F;A5;File Control Information (FCI) Proprietary Template;VAR;A5;;Card;var.;var.;constructed;Identifies the data object proprietary to this specification in the FCI template according to ISO/IEC 7816-4
