B_NAME,B_OPERATION,B_STARTRULE,B_BUYRULE,B_SELLRULE,B_EXITBUYRULE,B_EXITSELLRULE,B_EXITRULE,B_ILOT,B_MAXLOT,B_MAXCOUNT,B_DIRECTION, B_DIRECTIONTYPE, B_RECOVERYMODE,B_RECOVERYVALUE,B_PIPSTEP,B_TIMESTEP,B_ORDERTYPE,B_KEEPBUYSELL,B_ONEORDERPERBAR,B_EXITMODE,B_MAXTIME,B_HEDGEMAGNITUDE,B_MINPROFIT,B_BUYMINPROFIT,B_SELLMINPROFIT,B_TP,B_TS,B_SL,B_BUYTP,B_BUYTS,B_BUYSL,B_SELLTP,B_SELLTS,B_SELLSL,B_BUYLOTTP,B_BUYLOTTS,B_BUYLOTSL,B_SELLLOTTP,B_SELLLOTTS,B_SELLLOTSL
RSI_20_HEIKEN,BUYSELL,M,M,M,M,M,M,0.2,1,5,ANY,LEVEL,S,10,10,800,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGULFING_D1,BUYSELL,D,D,D,D,D,D,0.5,1,1,FORWARD,LEVEL,C,2,16,0,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0
RSI_2P_H1,BUYSELL,G,G,G,G,G,G,1,1,1,BACKWARD,MINMAX,C,1,10,27,MONO,FALSE,FALSE,EXITANY,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
PIVOT_PINBAR,BUYSELL,J,J,J,J,J,J,1,1,1,BACKWARD,MINMAX,C,1,10,60,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIVOT_RES_SUPP_APPROACH,BUYSELL,O,O,O,O,O,O,1,1,1,FORWARD,LEVEL,C,1,15,120,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,20,0,0,20
PIVOT_LINE_APPROACH,BUYSELL,Q,Q,Q,Q,Q,Q,1,10,1,FORWARD,LEVEL,C,30,30,120,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
FRACTAL_CHANGED_H4,BUYSELL,E,E,E,E,E,E,1,1,1,BACKWARD,MINMAX,C,1,10,10,MONO,FALSE,FALSE,EXITANY,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100
Angle_EMA,BUYSELL,A,A,A,A,A,A,0.01,10,30,ANY,MINMAX,C,20,0,5,MONO,FALSE,FALSE,EXITANY,0,1,10,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGULFING_H4,BUYSELL,F,F,F,F,F,F,1,1,1,ANY,MINMAX,K,1,0,0,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
FRACTALS_H4,SELL,T,T,T,T,T,T,1,1,1,BACKWARD,MINMAX,C,1,10,10,MONO,FALSE,FALSE,EXITANY,-1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRACTALS_H4,BUY,T,T,T,T,T,T,1,1,1,BACKWARD,MINMAX,C,1,10,10,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VELOCITY_5WPR_14,BUYSELL,U,U,U,U,U,U,0.5,1,5,ANY,LEVEL,C,1,3,1,MONO,FALSE,FALSE,EXITANY,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore_Swing,BUYSELL,W,W,W,W,W,W,0.1,1,1,ANY,LEVEL,C,1,10,10,MONO,FALSE,FALSE,EXITANY,0,1,20,0,0,0,0,0,0,0,0,0,0,0,20,10,20,20,10,20
Mumbai,BUYSELL,Y,Y,Y,Y,Y,Y,0.1,1,1,ANY,LEVEL,C,1,10,10,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5
