B_NAME,B_OPERATION,B_STARTRULE,B_BUYRULE,B_SELLRULE,B_EXITBUYRULE,B_EXITSELLRULE,B_EXITRULE,B_ILOT,B_MAXLOT,B_MAXCOUNT,B_DIRECTION, B_DIRECTIONTYPE, B_RECOVERYMODE,B_RECOVERYVALUE,B_PIPSTEP,B_TIMESTEP,B_ORDERTYPE,B_KEEPBUYSELL,B_ONEORDERPERBAR,B_EXITMODE,B_MAXTIME,B_HEDGEMAGNITUDE,B_MINPROFIT,B_BUYMINPROFIT,B_SELLMINPROFIT,B_TP,B_TS,B_SL,B_BUYTP,B_BUYTS,B_BUYSL,B_SELLTP,B_SELLTS,B_SELLSL,B_BUYLOTTP,B_BUYLOTTS,B_BUYLOTSL,B_SELLLOTTP,B_SELLLOTTS,B_SELLLOTSL
RSI_20_HEIKEN,BUYSELL,M,M,M,M,M,M,0.2,1,5,ANY,LEVEL,S,1,10,800,MONO,FALSE,FALSE,EXITANY,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGULFING_D1,BUYSELL,D,D,D,D,D,D,0.1,1,1,FORWARD,LEVEL,C,1,10,-1,MONO,FALSE,FALSE,EXITANY,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0
PIVOT,BUYSELL,F,F,F,F,F,F,0.1,1,1,ANY,LEVEL,C,1,10,120,MONO,FALSE,FALSE,EXITANY,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,5,0,10,5,0,10
RSI_2P_H1,BUYSELL,G,G,G,G,G,G,0.1,1,1,BACKWARD,MINMAX,C,1,10,10,MONO,FALSE,FALSE,EXITANY,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,10,20,0,10,20
FRACTAL_CHANGED,BUYSELL,O,O,O,O,O,O,0.1,1,3,ANY,LEVEL,Q,2,5,10,MONO,FALSE,FALSE,EXITANY,-1,1,10,-1,-1,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0
CROSS_FRACTALS,BUYSELL,B,B,B,B,B,B,0.1,1.6,1,ANY,LEVEL,A,1,-1,-1,MONO,FALSE,FALSE,EXITANY,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
BAR_CHANGED,BUYSELL,E,E,E,E,E,E,0.1,1,10,ANY,LEVEL,Q,2,5,-1,MONO,FALSE,FALSE,EXITANY,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,10,0,10,10,0,10
CANDLE_H1,BUYSELL,A,A,A,A,A,A,0.1,1,1,ANY,LEVEL,C,1,-1,-1,MONO,FALSE,FALSE,EXITANY,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANDLE_D1,BUYSELL,I,I,I,I,I,I,0.1,1,1,ANY,LEVEL,A,2,-1,-1,MONO,FALSE,FALSE,EXITANY,-1,1,100,-1,-1,0,0,0,0,0,0,0,0,0,10,0,10,10,0,10
Gap,BUYSELL,K,K,K,K,K,K,0.1,1,1,BACKWARD,MINMAX,C,1,10,10,MONO,FALSE,FALSE,EXITANY,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_Pips_Per_Day,BUYSELL,L,L,L,L,L,L,0.1,1,1,ANY,LEVEL,C,1,10,10,MONO,FALSE,FALSE,EXITANY,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5
Mumbai,BUYSELL,N,N,N,N,N,N,0.1,1,1,ANY,LEVEL,C,1,10,10,MONO,FALSE,FALSE,EXITANY,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5
Singapore_Swing,BUYSELL,H,H,H,H,H,H,0.1,1,1,ANY,LEVEL,C,1,10,10,MONO,FALSE,FALSE,EXITANY,-1,1,20,-1,-1,0,0,0,0,0,0,0,0,0,20,10,20,20,10,20
