04-11-2021,14:15,ALL,IMF Meetings,Low,,,
04-11-2021,23:00,USD,Fed Chair Powell Speaks,High,,,
04-11-2021,23:50,JPY,PPI y/y,Low,0.5%,0.5%,-0.7%
04-11-2021,23:50,JPY,Bank Lending y/y,Low,6.3%,6.3%,6.2%
04-12-2021,05:59,JPY,Prelim Machine Tool Orders y/y,Low,,,36.7%
04-12-2021,08:00,CNY,New Loans,Low,2300B,2300B,1360B
04-12-2021,08:00,CNY,M2 Money Supply y/y,Low,9.5%,9.5%,10.1%
04-12-2021,09:00,EUR,Retail Sales m/m,Low,1.3%,1.3%,-5.9%
04-12-2021,13:00,GBP,MPC Member Tenreyro Speaks,Low,,,
04-12-2021,14:30,CAD,BOC Business Outlook Survey,High,,,
04-12-2021,17:01,USD,10-y Bond Auction,Medium,,,1.52|2.4
04-12-2021,18:00,USD,Federal Budget Balance,Low,-665.5B,-665.5B,-310.9B
04-12-2021,22:00,NZD,NZIER Business Confidence,Medium,,,-6
04-12-2021,23:01,GBP,BRC Retail Sales Monitor y/y,Low,11.9%,11.9%,9.5%
04-12-2021,23:50,JPY,M2 Money Stock y/y,Low,9.6%,9.6%,9.6%
04-13-2021,01:30,AUD,NAB Business Confidence,Medium,,,16
04-13-2021,03:06,CNY,Trade Balance,Medium,330B,330B,676B
04-13-2021,03:07,CNY,USD-Denominated Trade Balance,Medium,52.0B,52.0B,103.3B
04-13-2021,06:00,GBP,Manufacturing Production m/m,Low,0.5%,0.5%,-2.3%
04-13-2021,06:00,GBP,Index of Services 3m/3m,Low,-2.3%,-2.3%,-2.4%
04-13-2021,06:00,GBP,Industrial Production m/m,Low,0.5%,0.5%,-1.5%
04-13-2021,06:00,GBP,GDP m/m,Low,0.5%,0.5%,-2.9%
04-13-2021,06:00,GBP,Goods Trade Balance,Low,-10.4B,-10.4B,-9.8B
04-13-2021,06:00,GBP,Construction Output m/m,Low,0.5%,0.5%,0.9%
04-13-2021,06:00,EUR,German WPI m/m,Low,0.6%,0.6%,1.4%
04-13-2021,08:00,EUR,Italian Industrial Production m/m,Low,0.7%,0.7%,1.0%
04-13-2021,09:00,EUR,ZEW Economic Sentiment,Low,77.2,77.2,74.0
04-13-2021,09:00,EUR,German ZEW Economic Sentiment,Low,79.1,79.1,76.6
04-13-2021,10:00,USD,NFIB Small Business Index,Low,98.2,98.2,95.8
04-13-2021,12:28,GBP,NIESR GDP Estimate,Low,,,-2.0%
04-13-2021,12:30,USD,Core CPI m/m,High,0.2%,0.2%,0.1%
04-13-2021,12:30,USD,CPI m/m,High,0.5%,0.5%,0.4%
04-13-2021,17:01,USD,30-y Bond Auction,Medium,,,2.30|2.3
04-13-2021,19:15,USD,FOMC Member Bostic Speaks,Low,,,
04-13-2021,22:51,NZD,Visitor Arrivals m/m,Low,,,-7.7%
04-13-2021,23:50,JPY,Core Machinery Orders m/m,Low,2.4%,2.4%,-4.5%
04-14-2021,00:30,AUD,Westpac Consumer Sentiment,Low,,,2.6%
04-14-2021,02:00,NZD,Official Cash Rate,Medium,0.25%,0.25%,0.25%
04-14-2021,02:00,NZD,RBNZ Rate Statement,High,,,
04-14-2021,09:00,EUR,Industrial Production m/m,Low,-1.2%,-1.2%,0.8%
04-14-2021,09:34,EUR,German 30-y Bond Auction,Low,,,0.21|1.2
04-14-2021,12:30,USD,Import Prices m/m,Low,1.0%,1.0%,1.3%
04-14-2021,14:00,EUR,ECB President Lagarde Speaks,Medium,,,
04-14-2021,14:30,USD,Crude Oil Inventories,Medium,-2.4M,-2.4M,-3.5M
04-14-2021,14:30,GBP,MPC Member Haskel Speaks,Low,,,
04-14-2021,16:00,USD,Fed Chair Powell Speaks,High,,,
04-14-2021,18:00,USD,Beige Book,Low,,,
04-14-2021,18:30,USD,FOMC Member Williams Speaks,Low,,,
04-14-2021,19:45,USD,FOMC Member Clarida Speaks,Low,,,
04-14-2021,20:00,USD,FOMC Member Bostic Speaks,Low,,,
04-14-2021,22:45,NZD,FPI m/m,Low,,,-0.9%
04-15-2021,01:00,AUD,MI Inflation Expectations,Low,,,4.1%
04-15-2021,01:30,AUD,Employment Change,High,35.2K,35.2K,88.7K
04-15-2021,01:30,AUD,Unemployment Rate,High,5.7%,5.7%,5.8%
04-15-2021,06:00,EUR,German Final CPI m/m,Low,0.5%,0.5%,0.5%
04-15-2021,06:45,EUR,French Final CPI m/m,Low,0.6%,0.6%,0.6%
04-15-2021,08:30,GBP,BOE Credit Conditions Survey,Low,,,
04-15-2021,12:30,USD,Unemployment Claims,Medium,703K,703K,744K
04-15-2021,12:30,USD,Retail Sales m/m,High,5.8%,5.8%,-3.0%
04-15-2021,12:30,USD,Core Retail Sales m/m,High,5.1%,5.1%,-2.7%
04-15-2021,12:30,CAD,Manufacturing Sales m/m,Low,-1.1%,-1.1%,3.1%
04-15-2021,12:30,USD,Empire State Manufacturing Index,Low,19.3,19.3,17.4
04-15-2021,12:30,USD,Philly Fed Manufacturing Index,Medium,41.0,41.0,51.8
04-15-2021,12:32,CAD,ADP Non-Farm Employment Change,Low,,,-100.8K
04-15-2021,13:15,USD,Industrial Production m/m,Low,2.7%,2.7%,-2.2%
04-15-2021,13:15,USD,Capacity Utilization Rate,Low,75.6%,75.6%,73.8%
04-15-2021,13:30,GBP,CB Leading Index m/m,Low,,,-0.4%
04-15-2021,14:00,USD,NAHB Housing Market Index,Low,84,84,82
04-15-2021,14:00,USD,Business Inventories m/m,Low,0.5%,0.5%,0.3%
04-15-2021,14:00,CHF,Gov Board Member Maechler Speaks,Medium,,,
04-15-2021,14:30,USD,Natural Gas Storage,Low,67B,67B,20B
04-15-2021,15:30,USD,FOMC Member Bostic Speaks,Low,,,
04-15-2021,18:00,USD,FOMC Member Daly Speaks,Low,,,
04-15-2021,20:00,USD,TIC Long-Term Purchases,Low,120.5B,120.5B,90.8B
04-15-2021,22:30,NZD,BusinessNZ Manufacturing Index,Low,,,53.4
04-16-2021,02:00,CNY,GDP q/y,High,18.3%,18.3%,6.5%
04-16-2021,02:00,CNY,Fixed Asset Investment ytd/y,Low,27.0%,27.0%,35.0%
04-16-2021,02:00,CNY,Industrial Production y/y,Low,18.3%,18.3%,35.1%
04-16-2021,02:00,CNY,Unemployment Rate,Low,5.4%,5.4%,5.5%
04-16-2021,02:00,CNY,Retail Sales y/y,Low,28.0%,28.0%,33.8%
04-16-2021,02:00,CNY,NBS Press Conference,Low,,,
04-16-2021,06:30,CHF,PPI m/m,Low,0.2%,0.2%,0.0%
04-16-2021,08:00,EUR,Italian Trade Balance,Low,4.95B,4.95B,1.59B
04-16-2021,09:00,EUR,Final Core CPI y/y,Low,0.9%,0.9%,0.9%
04-16-2021,09:00,EUR,Final CPI y/y,Low,1.3%,1.3%,1.3%
04-16-2021,09:00,EUR,Trade Balance,Low,21.9B,21.9B,24.2B
04-16-2021,09:00,GBP,MPC Member Cunliffe Speaks,Low,,,
04-16-2021,09:15,EUR,ECOFIN Meetings,Low,,,
04-16-2021,09:15,EUR,Eurogroup Meetings,Low,,,
04-16-2021,12:15,CAD,Housing Starts,Low,254K,254K,246K
04-16-2021,12:30,CAD,Foreign Securities Purchases,Low,6.05B,6.05B,1.27B
04-16-2021,12:30,CAD,Wholesale Sales m/m,Low,-0.5%,-0.5%,4.0%
04-16-2021,12:30,USD,Building Permits,Low,1.75M,1.75M,1.68M
04-16-2021,12:30,USD,Housing Starts,Low,1.60M,1.60M,1.42M
04-16-2021,14:00,USD,Prelim UoM Consumer Sentiment,Medium,88.9,88.9,83.0
04-16-2021,14:00,USD,Prelim UoM Inflation Expectations,Low,,,3.1%
