01-05-2020,18:15,USD,FOMC Member Williams Speaks,Medium,,,
01-05-2020,18:15,CAD,Gov Council Member Wilkins Speaks,Medium,,,
01-05-2020,18:15,GBP,MPC Member Broadbent Speaks,Medium,,,
01-05-2020,21:30,AUD,AIG Manufacturing Index,Low,,,48.1
01-06-2020,00:30,JPY,Final Manufacturing PMI,Low,,,48.8
01-06-2020,01:45,CNY,Caixin Services PMI,Low,53.2,53.2,53.5
01-06-2020,07:00,EUR,German Retail Sales m/m,Low,1.1%,1.1%,-1.9%
01-06-2020,07:03,EUR,Italian Bank Holiday,Holiday,,,
01-06-2020,08:15,EUR,Spanish Services PMI,Low,53.9,53.9,53.2
01-06-2020,08:45,EUR,Italian Services PMI,Low,50.9,50.9,50.4
01-06-2020,08:50,EUR,French Final Services PMI,Low,52.4,52.4,52.4
01-06-2020,08:55,EUR,German Final Services PMI,Low,52.0,52.0,52.0
01-06-2020,09:00,EUR,Final Services PMI,Low,52.4,52.4,52.4
01-06-2020,09:30,GBP,Final Services PMI,Low,49.1,49.1,49.0
01-06-2020,09:30,EUR,Sentix Investor Confidence,Low,3.0,3.0,0.7
01-06-2020,10:00,EUR,PPI m/m,Low,0.1%,0.1%,0.1%
01-06-2020,13:30,CAD,RMPI m/m,Medium,1.5%,1.5%,-1.9%
01-06-2020,13:30,CAD,IPPI m/m,Low,0.4%,0.4%,0.1%
01-06-2020,14:45,USD,Final Services PMI,Low,52.2,52.2,52.2
01-06-2020,23:50,JPY,Monetary Base y/y,Low,3.6%,3.6%,3.3%
01-07-2020,00:30,AUD,ANZ Job Advertisements m/m,Low,,,-1.7%
01-07-2020,03:35,JPY,10-y Bond Auction,Low,,,-0.04|3.3
01-07-2020,07:30,CHF,CPI m/m,Medium,-0.1%,-0.1%,-0.1%
01-07-2020,09:55,GBP,Housing Equity Withdrawal q/q,Low,-7.2B,-7.2B,-6.9B
01-07-2020,10:00,EUR,Italian Prelim CPI m/m,Low,0.2%,0.2%,0.0%
01-07-2020,10:00,EUR,Retail Sales m/m,Low,0.6%,0.6%,-0.6%
01-07-2020,10:00,EUR,CPI Flash Estimate y/y,Medium,1.3%,1.3%,1.0%
01-07-2020,10:00,EUR,Core CPI Flash Estimate y/y,Low,1.3%,1.3%,1.3%
01-07-2020,10:34,GBP,10-y Bond Auction,Low,,,0.74|2.2
01-07-2020,13:30,USD,Trade Balance,Low,-44.5B,-44.5B,-47.2B
01-07-2020,13:30,CAD,Trade Balance,Medium,-0.8B,-0.8B,-1.1B
01-07-2020,14:37,NZD,GDT Price Index,Low,,,-5.1%
01-07-2020,15:00,USD,ISM Non-Manufacturing PMI,High,54.5,54.5,53.9
01-07-2020,15:00,CAD,Ivey PMI,Low,60.2,60.2,60.0
01-07-2020,15:00,USD,Factory Orders m/m,Low,-0.6%,-0.6%,0.3%
01-07-2020,21:30,AUD,AIG Construction Index,Low,,,40.0
01-07-2020,23:30,JPY,Average Cash Earnings y/y,Low,-0.2%,-0.2%,0.5%
01-08-2020,00:30,AUD,Building Approvals m/m,High,2.1%,2.1%,-8.1%
01-08-2020,05:02,JPY,Consumer Confidence,Low,39.6,39.6,38.7
01-08-2020,07:00,EUR,German Factory Orders m/m,Low,0.2%,0.2%,-0.4%
01-08-2020,07:45,EUR,French Trade Balance,Low,-5.0B,-5.0B,-4.7B
01-08-2020,08:30,GBP,Halifax HPI m/m,Low,0.6%,0.6%,1.0%
01-08-2020,10:36,EUR,German 10-y Bond Auction,Low,,,-0.33|1.9
01-08-2020,13:15,USD,ADP Non-Farm Employment Change,High,160K,160K,67K
01-08-2020,15:00,USD,FOMC Member Brainard Speaks,Low,,,
01-08-2020,15:30,USD,Crude Oil Inventories,Medium,-3.4M,-3.4M,-11.5M
01-08-2020,16:26,USD,President Trump Speaks,High,,,
01-08-2020,18:01,USD,10-y Bond Auction,Low,,,1.84|2.4
01-08-2020,20:00,USD,Consumer Credit m/m,Low,15.5B,15.5B,18.9B
01-09-2020,00:00,NZD,ANZ Commodity Prices m/m,Low,,,4.3%
01-09-2020,00:01,GBP,BRC Retail Sales Monitor y/y,Low,-0.5%,-0.5%,-4.9%
01-09-2020,00:30,AUD,Trade Balance,High,4.10B,4.10B,4.50B
01-09-2020,01:30,CNY,CPI y/y,Medium,4.7%,4.7%,4.5%
01-09-2020,01:30,CNY,PPI y/y,Low,-0.4%,-0.4%,-1.4%
01-09-2020,03:35,JPY,30-y Bond Auction,Low,,,0.43|3.7
01-09-2020,07:00,EUR,German Industrial Production m/m,Low,0.9%,0.9%,-1.7%
