OBJECT,SIGNAL,DESC,SOUND
BAR,PREVIOUS,Previous Bar Value (Close Price - Open Price),Previous Bar Value
BAR,CURRENT,Current Bar Value (Close Price - Open Price),
BAR,BULL,Close Price is Above Open Price,
BAR,BEAR,Close Price is Below Open Price,
BAR,CHANGED,Bar state changed from the previous Bar (BULL/BEAR),
BAR,UP,Close Price is Above Open Price (Same as BULL),
BAR,DOWN,Close Price is Below Open Price (same as BEAR),
BAR,SIDEWAY,Close Price is Equal to Open Price,
BAR,NBRBARS,Number of consecutive bars with the same signal (BULL/BEAR),
BAR,BULL_PTECZ,,
BAR,BULL_HAMMER,Candlestick pattern is a Bullish hammer  (lower wick is at least 2 times bigger than the higher wick),
BAR,BULL_HAMMER1,Candlestick pattern is a Bullish hammer  (lower wick is at least 3 times bigger than the higher wick),
BAR,BULL_HAMMER2,Candlestick pattern is a Bullish hammer  (lower wick is at least 4 times bigger than the higher wick),
BAR,BULL_ENGULFING,Candlestick pattern is a Bullish  engulfing,
BAR,BULL_HARAMI,Candlestick pattern is a Bullish  harami,
BAR,BULL_INVERTED_HAMMER,Candlestick pattern is a Bullish inverted hammer,
BAR,BULL_INVERTED_HAMMER1,Candlestick pattern is a Bullish  inverted hammer (same as BULL_INVERTED_HAMMER),
BAR,BULL_INVERTED_HAMMER2,Candlestick pattern is a Bullish  inverted hammer (same as BULL_INVERTED_HAMMER),
BAR,BULL_PIERCING_LINE,Candlestick pattern is a Bullish piercing line,
BAR,BULL_MORNING_STAR,Candlestick pattern is a Bullish morning star,
BAR,BULL_MORNING_DOJI_STAR,Candlestick pattern is a Bullish morning doji star,
BAR,BULL_THREE_WHITE_SOLDIERS,Candlestick pattern is a Bullish three wait soldiers,
BAR,BULL_THREE_INSIDE_UP,Candlestick pattern is a Bullish three inside up,
BAR,BULL_THREE_OUTSIDE_UP,Candlestick pattern is a Bullish three outside up,
BAR,BEAR_PTECZ,Candlestick pattern is a Bearish,
BAR,BEAR_HANGING_MAN,Candlestick pattern is a Bearish hanging man,
BAR,BEAR_HANGING_MAN1,Candlestick pattern is a Bearish hanging man (same as BEAR_HAGING_MAN),
BAR,BEAR_HANGING_MAN2,Candlestick pattern is a Bearish hanging man (same as BEAR_HAGING_MAN),
BAR,BEAR_ENGULFING,Candlestick pattern is a Bearish engulfing,
BAR,BEAR_HARAMI,Candlestick pattern is a Bearish harami,
BAR,BEAR_SHOOTING_STAR,Candlestick pattern is a Bearish shooting star (higher wick is at least 2 times bigger than the lower wick),
BAR,BEAR_SHOOTING_STAR1,Candlestick pattern is a Bearish  shooting star (higher wick is at least 3 times bigger than the lower wick),
BAR,BEAR_SHOOTING_STAR2,Candlestick pattern is a Bearish  shooting star (higher wick is at least 4 times bigger than the lower wick),
BAR,BEAR_DARK_CLOUD_COVER,Candlestick pattern is a Bearish dark cloud star,
BAR,BEAR_EVENING_STAR,Candlestick pattern is a Bearish evening star,
BAR,BEAR_EVENING_DOJI_STAR,Candlestick pattern is a Bearish evening doji star,
BAR,BEAR_THREE_BLACK_CROWS,Candlestick pattern is a Bearish three black crowns,
BAR,BEAR_THREE_INSIDE_DOWN,Candlestick pattern is a Bearish inside down,
BAR,BEAR_THREE_OUTSIDE_DOWN,Candlestick pattern is a Bearish outside down,
HEIKEN_ASHI,UP,Heiken Ashi  is green,
HEIKEN_ASHI,DOWN,Heiken Ashi  is red,
HEIKEN_ASHI,BULL,Heiken Ashi  is green (same as UP),
HEIKEN_ASHI,BEAR,Heiken Ashi  is red (same as DOWN),
HEIKEN_ASHI,REVERSE_DOWN,Heiken Ashi  is red, the previous is also red but the previous of the previous is green,
HEIKEN_ASHI,REVERSE_UP,Heiken Ashi  is green the previous is also green but the previous of the previous is red,
HEIKEN_ASHI,CHANGED,Heiken Ashi  changed, the previous  is opposite to the current ,
HEIKEN_ASHI,NBRBARS,Number of consecutive Heiken Ashi with the same color,
HEIKEN_ASHI,PREVIOUS,Previous Heiken Ashi Value (1 for green, 0 for red),
HEIKEN_ASHI,CURRENT,Current Heiken Ashi Value (1 for green, 0 for red),
FIBOLEVEL,ABOVE,Price is above the Fibonacci Line,
FIBOLEVEL,BELOW,Price is below the Fibonnaci Line,
FIBOLEVEL,BULL,Fibo Line is bull (price is above the Open price ),
FIBOLEVEL,BEAR,Fibo Line is bear (Price is below the Open price),
FIBOLEVEL,CROSS_UP,Price crossed the Fibo Line up (Open Price is below the Fibo level and the High price is above it),
FIBOLEVEL,CROSS_DOWN,Price crossed the Fibo Line down (Open Price is above the Fibo level and the Low priceis below it),
FIBOLEVEL,ALERT,Price is approaching the Fibo Line (In the alert zone  from up or down),
FIBOLEVEL,PREVIOUS,Previous Fibo Line Value,
FIBOLEVEL,CURRENT,Current Fibo Line Value,
FIBOLEVEL,CHANGED,Fibo Line changed (the previous is opposite to the current : BULL/BEAR),
FIBOLEVEL,DISTANCE,Distance Value between the Price and the Fibo Line,
FIBOLEVEL,TOUCHED,Price touches the Fibo Line,
FIBOSTOPLOSSLEVEL,ABOVE,Price is above the Fibonacci stop Level Line,
FIBOSTOPLOSSLEVEL,BELOW,Price is below the Fibonnaci stop Level Line,
FIBOSTOPLOSSLEVEL,BULL,Fibo Stop Level  Line is bull (price is above the Open price ),
FIBOSTOPLOSSLEVEL,BEAR,Fibo Stop Level Line is bear (Price is below the Open price),
